sentenceId,raw_text,aspectTerms,aspectCategories
2339,I charge it at night and skip taking the cord with me because of the good battery life.,"[{'term': 'cord', 'polarity': 'neutral'}, {'term': 'battery life', 'polarity': 'positive'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
812,I bought a HP Pavilion DV4-1222nr laptop and have had so many problems with the computer.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
1316,"The tech guy then said the service center does not do 1-to-1 exchange and I have to direct my concern to the ""sales"" team, which is the retail shop which I bought my netbook from.","[{'term': 'service center', 'polarity': 'negative'}, {'term': '""sales"" team', 'polarity': 'negative'}, {'term': 'tech guy', 'polarity': 'neutral'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
2328,I investigated netbooks and saw the Toshiba NB305-N410BL.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
2193,"The other day I had a presentation to do for a seminar at a large conference in town- lots of people, little time to prep and have to set up a computer to a projector, etc.","[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
2005,"it is of high quality, has a killer GUI, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.","[{'term': 'quality', 'polarity': 'positive'}, {'term': 'GUI', 'polarity': 'positive'}, {'term': 'applications', 'polarity': 'positive'}, {'term': 'use', 'polarity': 'positive'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
2789,Easy to start up and does not overheat as much as other laptops.,"[{'term': 'start up', 'polarity': 'positive'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
425,Sad very SAD.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
76,"I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!","[{'term': 'features', 'polarity': 'positive'}, {'term': 'iChat', 'polarity': 'positive'}, {'term': 'Photobooth', 'polarity': 'positive'}, {'term': 'garage band', 'polarity': 'positive'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
747,Needless to say a PC that can't support a cell phone is less than useless!,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
80,Great laptop that offers many great features!,"[{'term': 'features', 'polarity': 'positive'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
796,they have done absolutely nothing to fix the computer problem.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
917," One night I turned the freaking thing off after using it, the next day I turn it on, no GUI, screen all dark, power light steady, hard drive light steady and not flashing as it usually does.","[{'term': 'GUI', 'polarity': 'negative'}, {'term': 'screen', 'polarity': 'negative'}, {'term': 'power light', 'polarity': 'neutral'}, {'term': 'hard drive light', 'polarity': 'negative'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
