sentenceId,raw_text,aspectTerms,aspectCategories
3121,But the staff was so horrible to us.,"[{'term': 'staff', 'polarity': 'negative'}]","[{'category': 'service', 'polarity': 'negative'}]"
2777,"To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora.","[{'term': 'food', 'polarity': 'positive'}]","[{'category': 'food', 'polarity': 'positive'}, {'category': 'anecdotes/miscellaneous', 'polarity': 'negative'}]"
1634,"The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.","[{'term': 'food', 'polarity': 'positive'}, {'term': 'kitchen', 'polarity': 'positive'}, {'term': 'menu', 'polarity': 'neutral'}]","[{'category': 'food', 'polarity': 'positive'}]"
2534,Where Gabriela personaly greets you and recommends you what to eat.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'service', 'polarity': 'positive'}]"
583,"For those that go once and don't enjoy it, all I can say is that they just don't get it.","[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'anecdotes/miscellaneous', 'polarity': 'positive'}]"
2846,"Not only was the food outstanding, but the little 'perks' were great.","[{'term': 'food', 'polarity': 'positive'}, {'term': 'perks', 'polarity': 'positive'}]","[{'category': 'food', 'polarity': 'positive'}, {'category': 'service', 'polarity': 'positive'}]"
1571,It is very overpriced and not very tasty.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'food', 'polarity': 'negative'}, {'category': 'price', 'polarity': 'negative'}]"
1458,Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,"[{'term': 'orrechiete with sausage and chicken', 'polarity': 'positive'}, {'term': 'waiters', 'polarity': 'positive'}, {'term': 'meats', 'polarity': 'neutral'}, {'term': 'dish', 'polarity': 'neutral'}]","[{'category': 'food', 'polarity': 'positive'}, {'category': 'service', 'polarity': 'positive'}]"
3161,"The Bagels have an outstanding taste with a terrific texture, both chewy yet not gummy.","[{'term': 'Bagels', 'polarity': 'positive'}]","[{'category': 'food', 'polarity': 'positive'}]"
2391,Nevertheless the food itself is pretty good.,"[{'term': 'food', 'polarity': 'positive'}]","[{'category': 'food', 'polarity': 'positive'}]"
296,"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.","[{'term': 'toast', 'polarity': 'negative'}, {'term': 'mayonnaise', 'polarity': 'negative'}, {'term': 'bacon', 'polarity': 'negative'}, {'term': 'cheese', 'polarity': 'neutral'}, {'term': 'ingredients', 'polarity': 'negative'}, {'term': 'plate', 'polarity': 'neutral'}, {'term': 'omelet', 'polarity': 'neutral'}]","[{'category': 'food', 'polarity': 'negative'}]"
1793,"It took half an hour to get our check, which was perfect since we could sit, have drinks and talk!","[{'term': 'drinks', 'polarity': 'neutral'}, {'term': 'check', 'polarity': 'neutral'}]","[{'category': 'service', 'polarity': 'conflict'}]"
2200,The design and atmosphere is just as good.,"[{'term': 'design', 'polarity': 'positive'}, {'term': 'atmosphere', 'polarity': 'positive'}]","[{'category': 'ambience', 'polarity': 'positive'}]"
3195,He has visited Thailand and is quite expert on the cuisine.,"[{'term': 'cuisine', 'polarity': 'positive'}]","[{'category': 'food', 'polarity': 'positive'}]"
3119,I would definitely recommend Mary's and am making it one of my regular neighborhood haunts.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'anecdotes/miscellaneous', 'polarity': 'positive'}]"
3359,The pizza is the best if you like thin crusted pizza.,"[{'term': 'pizza', 'polarity': 'positive'}, {'term': 'thin crusted pizza', 'polarity': 'neutral'}]","[{'category': 'food', 'polarity': 'positive'}]"
70,My Girlfriend and I stumbled onto this hopping place the other night and had a great time!,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'anecdotes/miscellaneous', 'polarity': 'positive'}]"
1829,"He can't help, they're bought up so fast.","[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'anecdotes/miscellaneous', 'polarity': 'neutral'}]"
2935,"Secondly, on this night the place was overwhelmed by upper east side ladies perfume.","[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'ambience', 'polarity': 'negative'}]"
1805,"i have eaten here a handful of times, for no reason besides sheer convenience.","[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'anecdotes/miscellaneous', 'polarity': 'neutral'}]"
2559,Obviously run by folks who know a pie.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'service', 'polarity': 'positive'}]"
716,We were very disappointed.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'anecdotes/miscellaneous', 'polarity': 'negative'}]"
2464,IT IS DEFINITELY SPECIAL AND AFFORDABLE.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'anecdotes/miscellaneous', 'polarity': 'positive'}, {'category': 'price', 'polarity': 'positive'}]"
385,I really liked this place.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'anecdotes/miscellaneous', 'polarity': 'positive'}]"
1350,I will be going back very soon.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'anecdotes/miscellaneous', 'polarity': 'positive'}]"
3534,"All the money went into the interior decoration, none of it went to the chefs.","[{'term': 'interior decoration', 'polarity': 'positive'}, {'term': 'chefs', 'polarity': 'negative'}]","[{'category': 'ambience', 'polarity': 'positive'}, {'category': 'food', 'polarity': 'negative'}]"
1407,The seats are uncomfortable if you are sitting against the wall on wooden benches.,"[{'term': 'seats', 'polarity': 'negative'}]","[{'category': 'ambience', 'polarity': 'negative'}]"
565,"I asked for seltzer with lime, no ice.","[{'term': 'seltzer with lime', 'polarity': 'neutral'}]","[{'category': 'food', 'polarity': 'neutral'}]"
387,It was pretty inexpensive too.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'price', 'polarity': 'positive'}]"
1314,Will not be back.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'anecdotes/miscellaneous', 'polarity': 'negative'}]"
675,"Don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods.","[{'term': 'pickles', 'polarity': 'positive'}, {'term': 'selection of meats and seafoods', 'polarity': 'positive'}]","[{'category': 'food', 'polarity': 'positive'}]"
2227,My suggestion is to eat family style because you'll want to try the other dishes.,"[{'term': 'dishes', 'polarity': 'neutral'}, {'term': 'eat family style', 'polarity': 'positive'}]","[{'category': 'food', 'polarity': 'neutral'}]"
3367,"Best of all is the warm vibe, the owner is super friendly and service is fast.","[{'term': 'vibe', 'polarity': 'positive'}, {'term': 'owner', 'polarity': 'positive'}, {'term': 'service', 'polarity': 'positive'}]","[{'category': 'service', 'polarity': 'positive'}, {'category': 'ambience', 'polarity': 'positive'}]"
1210,This isn't a value joint.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'price', 'polarity': 'negative'}]"
